 PRN, GPS Software Time, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
32.0000000000,463258.9866328460,55.0000000000,0.0000000000,-233163.2174573650,36.0000000000,35.0000000000,36.0000000000,0.0840000000,18378.2306428737,-0.0002294285,0.0000000000,0.0000000000,177.7322190665,-0.9448411763,670.7274509221,NLOS
1.0000000000,463258.9866328460,79.0000000000,0.0000000000,-166529.8092192740,49.0000000000,48.0000000000,49.0000000000,0.1520000000,18233.9271160662,-0.0000093444,0.0000000000,0.0000000000,34.1150127202,-0.7051489353,16.8530303612,NLOS
3.0000000000,463258.9866328460,52.0000000000,0.0000000000,-105691.1706499450,38.0000000000,38.0000000000,38.0000000000,-0.0240000000,17933.4394577518,0.0001936197,0.0000000000,0.0000000000,266.6456976421,-0.9001204446,25.3413791135,LOS
4.0000000000,463258.9866328460,56.0000000000,0.0000000000,-165710.2292822480,49.0000000000,48.0000000000,49.0000000000,0.1500000000,18642.4591801427,-0.0000067727,0.0000000000,0.0000000000,442.6956376433,-0.7042983547,-31.7264188863,LOS
70.0000000000,463258.9866328460,12.0000000000,0.0000000000,-125355.4898957640,35.0000000000,34.0000000000,35.0000000000,0.6330000000,17404.7588942684,0.0001281628,0.0000000000,0.0000000000,795.0402827002,-1.6743907332,66.1620950662,LOS
9.0000000000,463258.9866328460,14.0000000000,0.0000000000,-188312.5324542220,32.0000000000,31.0000000000,32.0000000000,0.0710000000,17657.0336451791,-0.0000778928,0.0000000000,0.0000000000,540.5566226579,-0.1770774499,1249.3048561923,NLOS
73.0000000000,463258.9866328460,22.0000000000,0.0000000000,-128599.5188892590,29.0000000000,28.0000000000,29.0000000000,-0.2350000000,18576.9780298992,0.0001172046,0.0000000000,0.0000000000,377.1780349500,55.1203259341,25.0139262453,NLOS
74.0000000000,463258.9866328460,44.0000000000,0.0000000000,-152751.9768476330,42.0000000000,42.0000000000,42.0000000000,-0.0700000000,18597.0420889966,0.0000367188,0.0000000000,0.0000000000,397.2420940511,0.0175640397,48.4276081286,NLOS
11.0000000000,463258.9866328460,54.0000000000,0.0000000000,-330385.6581647650,44.0000000000,43.0000000000,43.0000000000,0.1330000000,18637.3284355252,-0.0005560099,0.0000000000,0.0000000000,437.5747504421,-0.7132276185,-13.4675139338,LOS
31.0000000000,463258.9866328460,38.0000000000,0.0000000000,-66616.5482803061,34.0000000000,34.0000000000,34.0000000000,0.3360000000,18442.2893525846,0.0003239152,0.0000000000,0.0000000000,241.9419538304,-0.5147111863,12.3305176236,NLOS
32.0000000000,463259.9866908860,55.0000000000,0.0000000000,-251362.9956111830,36.0000000000,35.0000000000,36.0000000000,-0.0940000000,18378.2975914776,-0.0002294285,0.0000000000,0.0000000000,178.0110050477,0.2787859812,670.7077309005,NLOS
1.0000000000,463259.9866908860,79.0000000000,0.0000000000,-184729.9468746290,48.0000000000,48.0000000000,49.0000000000,0.0410000000,18234.0825064256,-0.0000093444,0.0000000000,0.0000000000,34.2536790594,0.1386663392,17.1904749908,NLOS
3.0000000000,463259.9866908860,52.0000000000,0.0000000000,-123891.3378315790,38.0000000000,38.0000000000,38.0000000000,0.1100000000,17933.5079455934,0.0001936198,0.0000000000,0.0000000000,266.6149317771,0.0307658650,25.7145892866,LOS
4.0000000000,463259.9866908860,56.0000000000,0.0000000000,-183910.6466439100,49.0000000000,48.0000000000,49.0000000000,-0.0190000000,18642.5863796472,-0.0000067727,0.0000000000,0.0000000000,442.8258102983,0.1301726550,-31.1093925089,LOS
70.0000000000,463259.9866908860,12.0000000000,0.0000000000,-143554.5038220950,35.0000000000,34.0000000000,35.0000000000,-0.5900000000,17404.4337187968,0.0001281628,0.0000000000,0.0000000000,795.3654581755,-0.3251754753,65.3768444248,LOS
9.0000000000,463259.9866908860,14.0000000000,0.0000000000,-206515.2055966510,32.0000000000,31.0000000000,32.0000000000,-0.1310000000,17657.1229665614,-0.0000778928,0.0000000000,0.0000000000,541.7087829039,-1.1521602459,1252.1742105298,NLOS
73.0000000000,463259.9866908860,22.0000000000,0.0000000000,-146817.7022520190,29.0000000000,28.0000000000,29.0000000000,0.1230000000,18577.9599001668,0.0001172046,0.0000000000,0.0000000000,378.1599052213,0.9818702713,43.3972940594,NLOS
74.0000000000,463259.9866908860,44.0000000000,0.0000000000,-170952.2530164120,42.0000000000,42.0000000000,42.0000000000,0.2440000000,18595.5984719842,0.0000367188,0.0000000000,0.0000000000,395.7984770387,-1.4436170124,48.9037819616,NLOS
11.0000000000,463259.9866908860,54.0000000000,0.0000000000,-348586.2284177020,44.0000000000,43.0000000000,44.0000000000,0.0450000000,18637.4525215029,-0.0005560099,0.0000000000,0.0000000000,437.6966065392,0.1218560971,-12.6985165551,LOS
31.0000000000,463259.9866908860,38.0000000000,0.0000000000,-84816.4108603410,34.0000000000,33.0000000000,34.0000000000,-0.2050000000,18442.4368345662,0.0003239152,0.0000000000,0.0000000000,241.9850034416,0.0430496112,12.3922019191,NLOS
32.0000000000,463260.9867489260,55.0000000000,0.0000000000,-269562.7486362680,36.0000000000,35.0000000000,36.0000000000,-0.0270000000,18378.1992202959,-0.0002294285,0.0000000000,0.0000000000,178.1850493252,0.1740442775,670.6628821455,NLOS
1.0000000000,463260.9867489260,79.0000000000,0.0000000000,-202929.1342237330,48.0000000000,47.0000000000,49.0000000000,0.0120000000,18234.0551015883,-0.0000093444,0.0000000000,0.0000000000,34.2307339609,-0.0229450986,16.5776133724,NLOS
