UTC Time, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, HDOP, Lat, Lon, Alt (Elipsoide), Alt (AMSL), Speed, Course, Estimated Horizontal Positioning Error, Estimated Vertical Positioning Error, Estimated Horizontal Velocity Error, Clock Bias, Clock Bias Error, Clock Drift, Clock Drift Error, EXTENDED GPS Week, GPS TOW, SVs number, Clock Drift 7, Clock Bias 7, Estimated GPS Time, PRN, GPS Software Time, Azimuth, Elevation, State, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, Pseudorange, C/No 1, C/No 2,  C/No 3, C/No 4, C/No 5, C/No 6, C/No 7, C/No 8, C/No 9, C/No 10, Carrier Frequency, Carrier Phase, Delta Range Interval, Mean Delta Range Time, Clock Bias, Clock Drift, Ionospheric Delay, Filtered C/No Max, Filtered C/No Min, Filtered C/No Delta, Check
201569144425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.28954826E8,0.0,1831539.0,0,1848.0,225881.42,0,96248.0,4301470.0,2.25881426E8,2,225881.42549374548,48.0,33.0,161,-3477126.3329298995,1.5447558844526025E7,2.168117873726331E7,-2635.1296813983786,-464.9532119888805,-137.69819613218212,2.112407022627042E7,0,0,0,0,0,0,0,42,42,42,18742.994,2.1124072896153733E7,0.0,0.0,5.710869577463527E-4,6.0257407E-12,0.0,42,0,42,End,
201569144425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.28954826E8,0.0,1831539.0,0,1848.0,225881.42,0,96248.0,4301470.0,2.25881426E8,5,225881.42549374548,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,2.1118114554206952E7,0,0,0,0,0,0,0,44,44,44,18072.234,2.1118115322016533E7,0.0,0.0,0.0,0.0,0.0,44,0,44,End,
201569144425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.28954826E8,0.0,1831539.0,0,1848.0,225881.42,0,96248.0,4301470.0,2.25881426E8,70,225881.42549374548,158.0,27.0,5,1.7017242574866638E7,1.6162355755550154E7,-9933780.987170365,-1023.9597726412437,-911.8526442914867,-3269.746301043862,2.2933730874473855E7,0,0,0,0,0,0,0,0,0,35,19016.615,2.2933730874473855E7,0.0,0.0,0.0,0.0,0.0,35,0,35,End,
201569144425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.28954826E8,0.0,1831539.0,0,1848.0,225881.42,0,96248.0,4301470.0,2.25881426E8,74,225881.42549374548,303.0,50.0,37,2.063700636116032E7,-3300761.408233844,1.4576700636666909E7,-1817.6917506343884,821.2505536989286,2785.20659262198,2.153236533874201E7,0,0,0,0,0,0,0,0,52,52,18042.414,2.153236533874201E7,0.0,0.0,0.0,0.0,0.0,52,0,52,End,
201569144425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.28954826E8,0.0,1831539.0,0,1848.0,225881.42,0,96248.0,4301470.0,2.25881426E8,12,225881.42549374548,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,2.2307300802952968E7,0,0,0,0,0,44,44,44,44,44,18579.619,2.2307305750089698E7,0.0,0.0,0.0,0.0,0.0,44,0,44,End,
201569144425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.28954826E8,0.0,1831539.0,0,1848.0,225881.42,0,96248.0,4301470.0,2.25881426E8,78,225881.42549374548,53.0,14.0,37,-8785069.528035264,1.6005433868063359E7,1.781284623232958E7,135.8565895695547,-2432.0538142277073,2262.0468422488934,2.1433509872696947E7,0,0,37,37,38,38,38,38,38,38,18241.02,2.1433509872696947E7,0.0,0.0,0.0,0.0,0.0,38,0,38,End,
201569144425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.28954826E8,0.0,1831539.0,0,1848.0,225881.42,0,96248.0,4301470.0,2.25881426E8,79,225881.42549374548,51.0,8.0,37,-1.1400532048821343E7,1.5241445566550966E7,1.6969329498587668E7,-1994.338118505697,1213.6969656653948,-2418.699042725623,2.185712843563392E7,0,0,0,0,0,28,28,29,29,29,18750.625,2.185712843563392E7,0.0,0.0,0.0,0.0,0.0,29,0,29,End,
201569144425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.28954826E8,0.0,1831539.0,0,1848.0,225881.42,0,96248.0,4301470.0,2.25881426E8,82,225881.42549374548,0.0,0.0,0,6384589.401665555,2.003529397653023E7,-1.4408905658536607E7,88.47408358597386,1987.9364254796094,2783.7225719880807,2.2288440520368837E7,0,0,0,0,0,0,0,0,0,0,17559.561,2.2288440520368837E7,0.0,0.0,0.0,0.0,0.0,32,0,32,End,
201569144425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.28954826E8,0.0,1831539.0,0,1848.0,225881.42,0,96248.0,4301470.0,2.25881426E8,20,225881.42549374548,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,2.311192906033856E7,0,0,0,0,0,0,0,38,38,38,17774.674,2.3111931721496765E7,0.0,0.0,0.0,0.0,0.0,38,0,38,End,
201569144425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.28954826E8,0.0,1831539.0,0,1848.0,225881.42,0,96248.0,4301470.0,2.25881426E8,21,225881.42549374548,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,2.326276431885015E7,0,0,0,0,0,47,47,47,47,47,17778.682,2.3262765653791804E7,0.0,0.0,0.0,0.0,0.0,47,0,47,End,
