UTC Time, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, HDOP, Lat, Lon, Alt (Elipsoide), Alt (AMSL), Speed, Course, Estimated Horizontal Positioning Error, Estimated Vertical Positioning Error, Estimated Horizontal Velocity Error, Clock Bias, Clock Bias Error, Clock Drift, Clock Drift Error, EXTENDED GPS Week, GPS TOW, SVs number, Clock Drift 7, Clock Bias 7, Estimated GPS Time, PRN, GPS Software Time, Azimuth, Elevation, State, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, Pseudorange, residuals, C/No Max, C/No Min, C/No Delta, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Carrier Frequency, Carrier Phase, Previous Carrier Phase, Delta Carrier phase, Delta Range Interval, Mean Delta Range Time, Clock Bias, Clock Drift, Ionospheric Delay, Filtered C/No Max, Filtered C/No Min, Filtered C/No Delta, Corrected PR, PrevoiusCorected PR, deltaCorrected PR, 2nd delta,PS Residual, Los Value
2015268224,4441636.0,3087296.0,3368316.0,-0.125,0.125,0.0,4.8,32.0834814,34.8024257,71.53,5441.0,14.0,0.0,6879,6037,107,0.0,0.0,1819150.0,0,1830.0,462140.4,4,95597.0,4.283274333E9,4.62140403E8,1,462140.39116852026,293.0,76.0,189,1.9809538389667884E7,8563467.080463408,1.5544763211952206E7,1026.4603050769063,1698.299455647664,-2219.708573918025,1.6854827555663474E7,3502646.2627237737,37,36,-1,37,37,36,18095.734,1.685484322495556E7,1.6836746616943225E7,18096.608012333512,0.0,0.0,-9.345561856190189E-6,9.115497E-13,0.0,37,36,-1,-1.267241314751677E9,-1.2672412182638128E9,96.48786425590515,1.2836213785976675E9,-1.2875987885700643E9,NLOS,
2015268224,4441636.0,3087296.0,3368316.0,-0.125,0.125,0.0,4.8,32.0834814,34.8024257,71.53,5441.0,14.0,0.0,6879,6037,107,0.0,0.0,1819150.0,0,1830.0,462140.4,4,95597.0,4.283274333E9,4.62140403E8,3,462140.39116852026,317.0,46.0,61,1.6384694251803394E7,-1084410.9747992686,2.089017195976047E7,-968.0525045879042,2469.0624642894604,883.2663235639178,1.8048100990905054E7,3563359.29673288,32,31,-1,32,32,31,17896.115,1.8048131907507036E7,1.803023482918406E7,17897.078322976828,0.0,0.0,1.9369997257312206E-4,1.8324483E-11,0.0,31,31,0,-1.2659871697965832E9,-1.2659868738292773E9,295.9673058986664,1.283618577257436E9,-1.2875986300842211E9,NLOS,
2015268224,4441636.0,3087296.0,3368316.0,-0.125,0.125,0.0,4.8,32.0834814,34.8024257,71.53,5441.0,14.0,0.0,6879,6037,107,0.0,0.0,1819150.0,0,1830.0,462140.4,4,95597.0,4.283274333E9,4.62140403E8,4,462140.39116852026,159.0,66.0,189,1.936165213511327E7,1.6934245572780706E7,6836257.666417011,304.188755136576,908.5239132419822,-2948.9086962847095,1.7145309232568678E7,3503456.186817616,48,47,-1,48,48,47,18525.373,1.7145323517277233E7,1.7126797174480904E7,18526.34279632941,0.0,0.0,-6.773102421513761E-6,1.1113381E-13,0.0,47,47,0,-1.2669500618708348E9,-1.2669503954051647E9,333.53432989120483,1.283618598569094E9,-1.2875988272902212E9,NLOS,
2015268224,4441636.0,3087296.0,3368316.0,-0.125,0.125,0.0,4.8,32.0834814,34.8024257,71.53,5441.0,14.0,0.0,6879,6037,107,0.0,0.0,1819150.0,0,1830.0,462140.4,4,95597.0,4.283274333E9,4.62140403E8,23,462140.39116852026,242.0,38.0,189,2.6560718196567792E7,-411322.4480014108,3627061.7455384936,-405.4011196104434,325.22731436458326,3077.397638664565,1.8916188156767946E7,3479371.1714571975,47,46,-1,47,47,46,17776.035,1.8916199654544163E7,1.889842272064868E7,17776.933895483613,0.0,0.0,-8.684656607352634E-5,5.2702547E-13,0.0,47,46,1,-1.2652031883671246E9,-1.2652027723025832E9,416.06454133987427,1.2836446127388809E9,-1.2875987476953497E9,LOS,
2015268224,4441636.0,3087296.0,3368316.0,-0.125,0.125,0.0,4.8,32.0834814,34.8024257,71.53,5441.0,14.0,0.0,6879,6037,107,0.0,0.0,1819150.0,0,1830.0,462140.4,4,95597.0,4.283274333E9,4.62140403E8,9,462140.39116852026,236.0,8.0,189,2.4498803606356815E7,-7785866.690283671,-6710549.876526001,878.5796859503048,169.50777045787004,3013.621160323706,2.1460049145679936E7,3481866.912150629,45,44,-1,45,45,44,17606.531,2.1460055201085925E7,2.1442447766800374E7,17607.43428555131,0.0,0.0,-7.839839377623226E-5,-1.1731217E-11,0.0,44,44,0,-1.2626567946798737E9,-1.2626562092513733E9,585.4285004138947,1.283642079986124E9,-1.2875987107377043E9,LOS,
2015268224,4441636.0,3087296.0,3368316.0,-0.125,0.125,0.0,4.8,32.0834814,34.8024257,71.53,5441.0,14.0,0.0,6879,6037,107,0.0,0.0,1819150.0,0,1830.0,462140.4,4,95597.0,4.283274333E9,4.62140403E8,73,462140.39116852026,45.0,32.0,37,-712011.7256879751,1.5526907369666176E7,2.0237698526825998E7,-1792.2743713395603,2109.7809839592587,-1681.3760686354026,1.8440727504284844E7,3143527.932148427,33,32,-1,32,33,24,18544.381,1.8440727504284844E7,1.8422182442433964E7,18545.06185087934,0.0,0.0,0.0,0.0,0.0,32,32,0,-1.2656526130740955E9,-1.2656529652306328E9,352.1565372943878,1.2836185680825517E9,-1.2872368685105288E9,NLOS,
2015268224,4441636.0,3087296.0,3368316.0,-0.125,0.125,0.0,4.8,32.0834814,34.8024257,71.53,5441.0,14.0,0.0,6879,6037,107,0.0,0.0,1819150.0,0,1830.0,462140.4,4,95597.0,4.283274333E9,4.62140403E8,74,462140.39116852026,260.0,49.0,173,2.3628440628383573E7,499748.4574747327,9700780.573982194,1330.2115295564622,113.57860832098898,-3245.3354456953307,1.6853468606933948E7,3516337.0306593925,46,45,-1,46,46,45,18421.074,1.6853468606933948E7,1.6835048664940964E7,18419.941992983222,0.0,0.0,3.671630184337387E-5,1.8189894E-12,0.0,46,46,0,-1.2672288647010684E9,-1.2672400990081258E9,11234.307057380676,1.2836295843102326E9,-1.2875986703386617E9,LOS,
2015268224,4441636.0,3087296.0,3368316.0,-0.125,0.125,0.0,4.8,32.0834814,34.8024257,71.53,5441.0,14.0,0.0,6879,6037,107,0.0,0.0,1819150.0,0,1830.0,462140.4,4,95597.0,4.283274333E9,4.62140403E8,75,462140.39116852026,122.0,31.0,37,7588389.4195733275,2.4331461498669613E7,947768.922599012,165.0799501139113,-193.59354960441144,3593.239033907869,1.824943375016674E7,3362499.8276595436,23,22,-1,24,24,22,17621.713,1.824943375016674E7,1.823181730165288E7,17616.448513861746,0.0,0.0,0.0,0.0,0.0,23,23,0,-1.2658439068282137E9,-1.265843330371414E9,576.4567997455597,1.283618566913387E9,-1.28745584040604E9,LOS,
2015268224,4441636.0,3087296.0,3368316.0,-0.125,0.125,0.0,4.8,32.0834814,34.8024257,71.53,5441.0,14.0,0.0,6879,6037,107,0.0,0.0,1819150.0,0,1830.0,462140.4,4,95597.0,4.283274333E9,4.62140403E8,76,462140.39116852026,59.0,28.0,37,-2364043.8389127282,1.8737238895715985E7,1.7201015349441584E7,-593.1846087112311,-2283.917249765941,2389.159618380522,1.846478927797195E7,3502949.841040641,21,20,-1,21,21,20,18252.914,1.846478927797195E7,1.8446527747258905E7,18261.530713044107,0.0,0.0,0.0,0.0,0.0,20,20,0,-1.2656285513004084E9,-1.265628619925808E9,68.62539958953857,1.283618570734985E9,-1.287596290419421E9,NLOS,
2015268225,4441636.0,3087296.0,3368316.0,-0.125,0.0,0.0,4.8,32.0834826,34.8024258,71.5,5437.0,9.0,0.0,4987,4374,98,1818930.0,0.0,1819131.0,0,1830.0,462141.4,4,95596.0,60673.0,4.62141403E8,1,462141.4029248283,293.0,76.0,189,1.9810564819373276E7,8565165.241643094,1.5542543332795143E7,1026.393636694457,1698.0138687000435,-2220.0379253136684,2.0378383304292195E7,-21005.387819793075,37,36,-1,37,37,36,18095.666,2.037839908340535E7,1.685484322495556E7,3523555.8584497906,0.0,0.0,-9.34556094463812E-6,9.115497E-13,0.0,36,36,0,2.035739226780098E7,-1.267241314751677E9,1.287598707019478E9,1.2875988035073423E9,14.351328577846289,NLOS,
