UTC Time, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, HDOP, Lat, Lon, Alt (Elipsoide), Alt (AMSL), Speed, Course, Estimated Horizontal Positioning Error, Estimated Vertical Positioning Error, Estimated Horizontal Velocity Error, Clock Bias, Clock Bias Error, Clock Drift, Clock Drift Error, EXTENDED GPS Week, GPS TOW, SVs number, Clock Drift 7, Clock Bias 7, Estimated GPS Time, PRN, GPS Software Time, Azimuth, Elevation, State, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, Pseudorange, residuals, C/No Max, C/No Min, C/No Delta, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Carrier Frequency, Carrier Phase, Previous Carrier Phase, Delta Carrier phase, Delta Range Interval, Mean Delta Range Time, Clock Bias, Clock Drift, Ionospheric Delay, Filtered C/No Max, Filtered C/No Min, Filtered C/No Delta, Corrected PR, PrevoiusCorected PR, deltaCorrected PR, 2nd delta,PS Residual, Los Value
20152683043,4441631.0,3087311.0,3368320.0,0.0,0.0,0.0,0.8,32.0834886,34.8025838,77.21,6009.0,11.0,12754.0,610,313,23,9.43570649E8,0.0,1820692.0,0,1830.0,462659.0,13,95678.0,3.1474129E7,4.62659E8,1,462659.03147407,275.0,79.0,191,2.0331561792739023E7,9405443.638028758,1.43504625679859E7,984.174067065482,1548.2237774842097,-2383.973286222178,2.9761320094924085E7,-9438521.17318774,45,44,-1,45,45,44,18169.625,2.9761350273968723E7,2.974317955182613E7,18170.722142592072,500.0,0.0,-9.3450660087213E-6,9.9903213E-13,5.2149501,45,45,0,2.0322812018296078E7,2.032284977829706E7,37.760000981390476,-0.5854754969477654,13.09655973315239,NLOS,
20152683043,4441631.0,3087311.0,3368320.0,0.0,0.0,0.0,0.8,32.0834886,34.8025838,77.21,6009.0,11.0,12754.0,610,313,23,9.43570649E8,0.0,1820692.0,0,1830.0,462659.0,13,95678.0,3.1474129E7,4.62659E8,3,462659.03147407,321.0,48.0,191,1.589821601004404E7,216049.95998244843,2.1287271562513884E7,-911.7748650131026,2543.7155631590854,650.8393123728144,3.0838970750739403E7,-9377696.20443141,41,40,-1,40,41,39,17923.477,3.0839066411818802E7,3.082114185271894E7,17924.559099864215,500.0,0.0,1.9360657873299477E-4,2.1938847E-11,6.4296498,41,40,1,2.1461306046543658E7,2.1461589996572055E7,283.9500283971429,-0.7148993127048016,31.50023566558957,NLOS,
20152683043,4441631.0,3087311.0,3368320.0,0.0,0.0,0.0,0.8,32.0834886,34.8025838,77.21,6009.0,11.0,12754.0,610,313,23,9.43570649E8,0.0,1820692.0,0,1830.0,462659.0,13,95678.0,3.1474129E7,4.62659E8,4,462659.03147407,161.0,62.0,191,1.94949062436386E7,1.7363731426733907E7,5288994.132690574,207.59960008672581,748.5199922914369,-3015.351343777321,3.0272937812818564E7,-9437720.874048892,43,42,-1,43,43,42,18591.955,3.0272953537645523E7,3.0254360460182365E7,18593.077463157475,500.0,0.0,-6.772974846471239E-6,3.7683268E-13,5.8038063,42,42,0,2.0835200829722285E7,2.083481625688792E7,384.57283436506987,-0.590330570936203,-16.109047386795282,NLOS,
20152683043,4441631.0,3087311.0,3368320.0,0.0,0.0,0.0,0.8,32.0834886,34.8025838,77.21,6009.0,11.0,12754.0,610,313,23,9.43570649E8,0.0,1820692.0,0,1830.0,462659.0,13,95678.0,3.1474129E7,4.62659E8,8,462659.03147407,114.0,45.0,173,1.0136701664700527E7,2.4170221530092075E7,6212271.4755733255,-486.5263007573047,-577.7443682890045,3082.6558010710532,3.1454142482124727E7,-9431177.05302741,27,26,-1,26,27,25,17925.9,3.1454063134408027E7,3.1436136152097918E7,17926.98231010884,500.0,0.0,1.7160481234546785E-5,4.7363823E-12,7.1772041,26,26,0,2.2023580568655413E7,2.202387197412622E7,291.4054708071053,-2.339010115712881,615.139558095485,NLOS,
20152683043,4441631.0,3087311.0,3368320.0,0.0,0.0,0.0,0.8,32.0834886,34.8025838,77.21,6009.0,11.0,12754.0,610,313,23,9.43570649E8,0.0,1820692.0,0,1830.0,462659.0,13,95678.0,3.1474129E7,4.62659E8,9,462659.03147407,237.0,10.0,191,2.490494482807092E7,-7697318.847619309,-5130006.827289184,687.2253653049191,174.27362366270663,3078.930695490748,3.410229825193634E7,-9459307.105573792,41,40,-1,45,45,40,17639.732,3.410230293857142E7,3.408466214210345E7,17640.796467974782,500.0,0.0,-7.840447888091457E-5,-1.1736034E-11,13.054667,40,40,0,2.464308668417534E7,2.464365432256756E7,567.6383922211826,-0.6586516052484512,95.53781279176474,LOS,
20152683043,4441631.0,3087311.0,3368320.0,0.0,0.0,0.0,0.8,32.0834886,34.8025838,77.21,6009.0,11.0,12754.0,610,313,23,9.43570649E8,0.0,1820692.0,0,1830.0,462659.0,13,95678.0,3.1474129E7,4.62659E8,73,462659.03147407,54.0,25.0,173,-3429628.1596623813,1.7668472572948318E7,1.8089734995141394E7,-1489.3375981866636,1975.696034702425,-2218.1003410436892,3.156557327472187E7,-9400577.153942432,22,21,-1,21,22,19,18563.357,3.156557327472187E7,3.1547013816420846E7,18559.45830102265,500.0,0.0,1.172030733869177E-4,1.8189894E-12,10.05934,22,22,0,2.2165003375858605E7,2.216465241153381E7,350.9643247947097,9.076712168753147,7.255079168826342,NLOS,
20152683043,4441631.0,3087311.0,3368320.0,0.0,0.0,0.0,0.8,32.0834886,34.8025838,77.21,6009.0,11.0,12754.0,610,313,23,9.43570649E8,0.0,1820692.0,0,1830.0,462659.0,13,95678.0,3.1474129E7,4.62659E8,74,462659.03147407,254.0,47.0,173,2.426023253611941E7,532731.2573274451,7988387.806358843,1104.0904421038197,16.419685045347574,-3355.0711617001175,2.993451873679062E7,-9424816.860739347,43,42,-1,43,43,42,18516.254,2.993451873679062E7,2.9916001900923375E7,18516.83586724475,500.0,0.0,3.671724516607343E-5,1.8189894E-12,6.4262147,43,43,0,2.050981979365086E7,2.0509511451759845E7,308.34189101681113,-2.2771988175809383,117.91759958863258,NLOS,
20152683043,4441631.0,3087311.0,3368320.0,0.0,0.0,0.0,0.8,32.0834886,34.8025838,77.21,6009.0,11.0,12754.0,610,313,23,9.43570649E8,0.0,1820692.0,0,1830.0,462659.0,13,95678.0,3.1474129E7,4.62659E8,75,462659.03147407,117.0,34.0,173,7650628.717664684,2.4168903405063547E7,2804677.7708490705,67.40286083105052,-437.7815017586845,3569.734327511111,3.090875962785362E7,-9576884.481779557,17,16,-1,17,17,16,17689.664,3.090875962785362E7,3.0891083766164545E7,17675.861689075828,500.0,0.0,-4.707704492830089E-4,-9.094947E-13,8.5280953,17,16,-1,2.133191970139022E7,2.133245233449535E7,532.6331051290035,-15.755927536636591,44.55531615763903,NLOS,
20152683043,4441631.0,3087311.0,3368320.0,0.0,0.0,0.0,0.8,32.0834886,34.8025838,77.21,6009.0,11.0,12754.0,610,313,23,9.43570649E8,0.0,1820692.0,0,1830.0,462659.0,13,95678.0,3.1474129E7,4.62659E8,76,462659.03147407,54.0,26.0,173,-2710266.076381518,1.7522198355883047E7,1.8381922894557368E7,-746.0964138875567,-2408.029804560738,2168.372494720757,3.1458608198950112E7,-9437621.013002973,25,24,-1,25,25,24,18348.871,3.1458608198950112E7,3.14402542029604E7,18353.995989710093,500.0,0.0,-6.378775651683218E-6,1.8189894E-12,9.6519289,24,24,0,2.202098939379938E7,2.2020843891785897E7,145.50201348215342,3.8778581023216248,2.207852240651846,NLOS,
20152683043,4441631.0,3087311.0,3368320.0,0.0,0.0,0.0,0.8,32.0834886,34.8025838,77.21,6009.0,11.0,12754.0,610,313,23,9.43570649E8,0.0,1820692.0,0,1830.0,462659.0,13,95678.0,3.1474129E7,4.62659E8,23,462659.03147407,245.0,41.0,191,2.630238435349014E7,-232763.95625901868,5211427.586022665,-590.004384741886,365.4840313641842,3029.9723020256138,3.164992458666485E7,-9461808.83811687,42,41,-1,43,43,41,17822.807,3.1649931349493165E7,3.1632107468138255E7,17823.88135490939,500.0,0.0,-8.684629288593973E-5,5.8095694E-13,7.2751379,42,41,-1,2.2188182226733305E7,2.218856705230684E7,384.8255735337734,-0.6699274331331253,66.47818532213569,NLOS,
