UTC Time, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, HDOP, Lat, Lon, Alt (Elipsoide), Alt (AMSL), Speed, Course, Estimated Horizontal Positioning Error, Estimated Vertical Positioning Error, Estimated Horizontal Velocity Error, Clock Bias, Clock Bias Error, Clock Drift, Clock Drift Error, EXTENDED GPS Week, GPS TOW, SVs number, Clock Drift 7, Clock Bias 7, Estimated GPS Time, PRN, GPS Software Time, Azimuth, Elevation, State, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, Pseudorange, residuals, C/No Max, C/No Min, C/No Delta, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Carrier Frequency, Carrier Phase, Previous Carrier Phase, Delta Carrier phase, Delta Range Interval, Mean Delta Range Time, Clock Bias, Clock Drift, Ionospheric Delay, Filtered C/No Max, Filtered C/No Min, Filtered C/No Delta, Corrected PR, PrevoiusCorected PR, deltaCorrected PR, 2nd delta,PS Residual, Los Value
20152684015,4441635.0,3087321.0,3368305.0,0.0,-0.625,0.5,2.0,32.0833341,34.8026453,76.34,5922.0,80.0,0.0,6542,15000,266,1.8673052E7,0.0,1820216.0,0,1830.0,463231.99,3,95653.0,622866.0,4.6323199E8,32,0.0,50.0,55.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6372217.118342014,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-186730.529144628,-168463.27530131402,18267.253843313985,-126.81220973396557,-6558947.647486642,NLOS,
20152684015,4441635.0,3087321.0,3368305.0,0.0,-0.625,0.5,2.0,32.0833341,34.8026453,76.34,5922.0,80.0,0.0,6542,15000,266,1.8673052E7,0.0,1820216.0,0,1830.0,463231.99,3,95653.0,622866.0,4.6323199E8,1,463231.9904355456,248.0,79.0,61,2.087823823760172E7,1.024325146628642E7,1.2935168294154437E7,919.2831022729985,1379.2497148724476,-2549.3863832330294,2.050980912719223E7,-190012.37334389985,49,48,-1,49,49,48,18231.416,2.050982254375271E7,2.049152328044675E7,18299.263305962086,0.0,0.0,-8.590729962312529E-6,6.4122118E-13,5.3158255,49,49,0,2.0320503161996186E7,2.0320471350984722E7,31.811011463403702,6.152084942907095,706.4081478565931,NLOS,
20152684015,4441635.0,3087321.0,3368305.0,0.0,-0.625,0.5,2.0,32.0833341,34.8026453,76.34,5922.0,80.0,0.0,6542,15000,266,1.8673052E7,0.0,1820216.0,0,1830.0,463231.99,3,95653.0,622866.0,4.6323199E8,17,0.0,302.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6372217.118342014,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-186730.529144628,-168463.27530131402,18267.253843313985,-126.81220973396557,-6558947.647486642,NLOS,
20152684015,4441635.0,3087321.0,3368305.0,0.0,-0.625,0.5,2.0,32.0833341,34.8026453,76.34,5922.0,80.0,0.0,6542,15000,266,1.8673052E7,0.0,1820216.0,0,1830.0,463231.99,3,95653.0,622866.0,4.6323199E8,3,463231.9904355456,326.0,52.0,61,1.539479785906196E7,1693087.1812162735,2.1586350384483844E7,-839.0839749504629,2608.3719010226228,389.54108893492713,2.1431476346802454E7,-128592.92249372229,41,41,0,42,42,41,17933.195,2.143147322349706E7,2.141347312035533E7,18000.10314172879,0.0,0.0,1.9371994898263433E-4,1.8277479E-11,6.3367848,41,41,0,2.1302821597326964E7,2.130308953989364E7,267.9425666742027,4.017557226121426,-61.82698176801205,NLOS,
20152684015,4441635.0,3087321.0,3368305.0,0.0,-0.625,0.5,2.0,32.0833341,34.8026453,76.34,5922.0,80.0,0.0,6542,15000,266,1.8673052E7,0.0,1820216.0,0,1830.0,463231.99,3,95653.0,622866.0,4.6323199E8,4,463231.9904355456,162.0,56.0,61,1.957972439230611E7,1.774224195473383E7,3544086.7371644285,86.51193658030346,577.7008915974828,-3068.489903596428,2.1259930133251987E7,-189587.04496631026,49,48,-1,49,49,48,18640.609,2.1259946747606844E7,2.124123672578264E7,18710.02182420343,0.0,0.0,-6.699499768663395E-6,1.2360373E-12,6.2074709,48,48,0,2.107119114460434E7,2.1070748261599325E7,442.88300501555204,9.069459367543459,848.0563186630607,LOS,
20152684015,4441635.0,3087321.0,3368305.0,0.0,-0.625,0.5,2.0,32.0833341,34.8026453,76.34,5922.0,80.0,0.0,6542,15000,266,1.8673052E7,0.0,1820216.0,0,1830.0,463231.99,3,95653.0,622866.0,4.6323199E8,70,463231.9904355456,162.0,12.0,173,1.3437385382552689E7,1.7606685070514902E7,-1.2730205000273542E7,854.9249154532715,1529.8320513050503,3016.1660575788437,2.3619587007037695E7,-148381.62285976484,37,36,-1,37,37,36,17408.16,2.3619587007037695E7,2.3602116372048784E7,17470.63498891145,0.0,0.0,1.281626645769059E-4,4.5474735E-12,14.537724,36,36,0,2.3471278678130407E7,2.3472075295616534E7,796.6174861267209,-6.272681530565023,73.29395247623324,LOS,
20152684015,4441635.0,3087321.0,3368305.0,0.0,-0.625,0.5,2.0,32.0833341,34.8026453,76.34,5922.0,80.0,0.0,6542,15000,266,1.8673052E7,0.0,1820216.0,0,1830.0,463231.99,3,95653.0,622866.0,4.6323199E8,23,463231.9904355456,249.0,44.0,61,2.5906285459635753E7,-7364.615682032648,6929168.798151652,-786.9227231076013,424.2077318153889,2957.8523675867186,2.2190828380154315E7,-213839.2914907448,38,37,-1,38,38,36,17853.223,2.219079603215644E7,2.2172874646333717E7,17921.38582272455,0.0,0.0,-8.678672321080035E-5,3.2348169E-12,7.033535,38,37,1,2.1978079845936555E7,2.197841810169019E7,338.25575363636017,5.593584023416042,1090.7572729848325,NLOS,
20152684015,4441635.0,3087321.0,3368305.0,0.0,-0.625,0.5,2.0,32.0833341,34.8026453,76.34,5922.0,80.0,0.0,6542,15000,266,1.8673052E7,0.0,1820216.0,0,1830.0,463231.99,3,95653.0,622866.0,4.6323199E8,73,463231.9904355456,59.0,22.0,173,-4224921.672555988,1.8779268059320416E7,1.6749253389018543E7,-1286.2879853354727,1896.6823497728592,-2457.737589750257,2.252109405184271E7,-151557.02353750914,33,32,-1,33,33,31,18560.977,2.252109405184271E7,2.2502468477526847E7,18625.574315860868,0.0,0.0,1.1720456675868746E-4,1.8189894E-12,10.81563,33,32,1,2.2369500567855492E7,2.2369142246835634E7,358.3210198581219,4.5800360552966595,-36.46044970676303,NLOS,
20152684015,4441635.0,3087321.0,3368305.0,0.0,-0.625,0.5,2.0,32.0833341,34.8026453,76.34,5922.0,80.0,0.0,6542,15000,266,1.8673052E7,0.0,1820216.0,0,1830.0,463231.99,3,95653.0,622866.0,4.6323199E8,74,463231.9904355456,246.0,44.0,173,2.4817876505389124E7,516164.6031121875,6037143.119290233,840.1422285576265,-70.53760955076184,-3451.2233503215716,2.0886217056467786E7,-175718.26937489212,42,41,-1,42,42,41,18592.574,2.0886217056467786E7,2.086755675290428E7,18660.30356350541,0.0,0.0,3.67187385378432E-5,1.8189894E-12,6.8906951,41,41,0,2.0710494528204076E7,2.0710101477936577E7,393.05026749894023,1.1902462653815746,-4.258888818323612,NLOS,
20152684015,4441635.0,3087321.0,3368305.0,0.0,-0.625,0.5,2.0,32.0833341,34.8026453,76.34,5922.0,80.0,0.0,6542,15000,266,1.8673052E7,0.0,1820216.0,0,1830.0,463231.99,3,95653.0,622866.0,4.6323199E8,11,463231.9904355456,201.0,54.0,61,2.4059588145557165E7,1.0944348438396353E7,2773524.737100077,127.10742319847772,622.7140364151397,-2980.9786515537517,2.1495812879078962E7,-354603.61020967364,37,37,0,38,38,37,18635.617,2.1495841921960305E7,2.1477137040999535E7,18704.88096076995,0.0,0.0,-5.560278546764578E-4,2.0127208E-13,6.3500075,37,37,0,2.114238939266441E7,2.114195156424107E7,437.82842333987355,8.871813472360373,1180.1237951219082,NLOS,
