Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
79.000000000,0.000000000,-190012.373343899,49.000000000,48.000000000,49.000000000,49.000000000,48.000000000,-0.231000000,18299.263305962,-0.000008591,0.000000000,0.000000000,31.811011463,6.152084943,706.408147857,NLOS
52.000000000,0.000000000,-128592.922493722,41.000000000,41.000000000,42.000000000,42.000000000,41.000000000,-0.504000000,18000.103141729,0.000193720,0.000000000,0.000000000,267.942566674,4.017557226,-61.826981768,LOS
56.000000000,0.000000000,-189587.044966310,49.000000000,48.000000000,49.000000000,49.000000000,48.000000000,-0.348000000,18710.021824203,-0.000006699,0.000000000,0.000000000,442.883005016,9.069459368,848.056318663,LOS
12.000000000,0.000000000,-148381.622859764,37.000000000,36.000000000,37.000000000,37.000000000,36.000000000,0.304000000,17470.634988911,0.000128163,0.000000000,0.000000000,796.617486127,-6.272681531,73.293952476,LOS
44.000000000,0.000000000,-213839.291490744,38.000000000,37.000000000,38.000000000,38.000000000,36.000000000,-0.285000000,17921.385822725,-0.000086787,0.000000000,0.000000000,338.255753636,5.593584023,1090.757272985,NLOS
22.000000000,0.000000000,-151557.023537509,33.000000000,32.000000000,33.000000000,33.000000000,31.000000000,0.041000000,18625.574315861,0.000117205,0.000000000,0.000000000,358.321019858,4.580036055,-36.460449707,NLOS
44.000000000,0.000000000,-175718.269374892,42.000000000,41.000000000,42.000000000,42.000000000,41.000000000,-0.627000000,18660.303563505,0.000036719,0.000000000,0.000000000,393.050267499,1.190246265,-4.258888818,NLOS
54.000000000,0.000000000,-354603.610209673,37.000000000,37.000000000,38.000000000,38.000000000,37.000000000,-0.221000000,18704.880960770,-0.000556028,0.000000000,0.000000000,437.828423340,8.871813472,1180.123795122,LOS
26.000000000,0.000000000,2808865.432715710,20.000000000,20.000000000,20.000000000,20.000000000,19.000000000,0.553000000,18524.645096127,0.000000000,0.000000000,0.000000000,257.391252812,67.653016765,-2995595.961860340,NLOS
38.000000000,0.000000000,-90200.474462740,34.000000000,34.000000000,34.000000000,34.000000000,33.000000000,-0.094000000,18508.290398654,0.000323277,0.000000000,0.000000000,239.013386510,8.079435527,385.888765272,NLOS
79.000000000,0.000000000,-208214.217198718,49.000000000,48.000000000,49.000000000,49.000000000,48.000000000,-0.092000000,18232.266176753,-0.000008591,0.000000000,0.000000000,28.674134854,-3.136876609,704.854145147,NLOS
14.000000000,0.000000000,-251417.619114708,35.000000000,34.000000000,0.000000000,35.000000000,0.000000000,18067.461000000,24654396.910651700,-0.000154474,0.000000000,11.493098000,24589842.180728100,24608109.434571400,173.461002570,NLOS
52.000000000,0.000000000,-146798.426524721,41.000000000,40.000000000,42.000000000,42.000000000,40.000000000,-0.170000000,17934.123874873,0.000193720,0.000000000,0.000000000,269.812040564,-1.869473889,-59.715521075,LOS
56.000000000,0.000000000,-207786.123846363,49.000000000,48.000000000,49.000000000,49.000000000,48.000000000,-0.136000000,18641.517109461,-0.000006699,0.000000000,0.000000000,438.287785087,-4.595219929,843.737519514,LOS
12.000000000,0.000000000,-166584.613933589,36.000000000,36.000000000,37.000000000,37.000000000,36.000000000,-0.590000000,17414.707629908,0.000128163,0.000000000,0.000000000,788.689056553,7.928429574,72.888339840,LOS
44.000000000,0.000000000,-232041.974992666,39.000000000,38.000000000,38.000000000,39.000000000,36.000000000,-0.293000000,17853.257073224,-0.000086787,0.000000000,0.000000000,348.046900984,-9.791147348,1090.043694921,NLOS
14.000000000,0.000000000,-230041.300500176,34.000000000,33.000000000,0.000000000,34.000000000,33.000000000,0.000000000,0.000000000,-0.000077892,0.000000000,0.000000000,24324216.819488200,24324216.819488200,1755.794981450,NLOS
22.000000000,0.000000000,-169760.402041830,33.000000000,32.000000000,33.000000000,33.000000000,31.000000000,-0.432000000,18560.012263399,0.000117205,0.000000000,0.000000000,356.614758957,-1.706260901,-36.479449827,NLOS
