 Elevation, residuals, C/No Max, C/No Min, C/No Delta, MaxCno2Second, Delta Carrier phase, deltaCorrected PR, 2nd delta,PS Residual, Los Value
35,-11488610.18,4,3,-1,19,17673.32,531.87,133.05,35.39,NLOS
27,-5107039.38,4,4,0,22,18296.35,103.14,2.61,-22.33,NLOS
27,-5125234.95,4,4,0,21,18300.5,106.99,3.85,-20.27,NLOS
34,-9776170.05,4,4,0,15,16687.81,1520.98,-996.28,-973.51,NLOS
34,-9794339.17,4,4,0,15,17653.55,555.25,965.73,-1013.18,NLOS
34,-10177710.23,4,4,0,5,17693.73,513.57,0.33,-9.12,NLOS
34,-10195916.48,4,4,0,5,17693.06,514.23,-0.67,-10.17,NLOS
35,-11506813.18,4,4,0,16,17697.74,507.46,24.42,33.19,NLOS
35,-11525018.92,4,4,0,4,17700.6,504.59,2.86,33.74,NLOS
35,-11543225.02,4,4,0,4,17701.07,504.13,0.47,34.64,NLOS
36,-12453469.54,4,4,0,11,17687.32,518.78,9.53,-7.97,NLOS
36,-12471671.42,4,4,0,11,17702.57,503.23,15.55,-11.89,NLOS
36,-12489872.8,4,4,0,4,17702.18,503.92,-0.69,-16.61,NLOS
26,-13315467.35,4,4,0,19,18316.06,110.56,-61.77,-114.28,NLOS
26,-13333668.44,4,4,0,19,18376.64,171.44,60.88,-118.39,NLOS
26,-13351869.18,4,4,0,4,18376.45,170.95,-0.49,-123.14,NLOS
26,-13370069.78,4,4,0,4,18376.46,170.66,-0.29,-128.34,NLOS
26,-13388270.04,4,4,0,4,18376.27,170.47,-0.19,-133.88,NLOS
26,-13406470.59,4,4,0,4,18376.72,169.43,-1.05,-140.62,NLOS
26,-13424670.62,4,4,0,4,18376.36,170.86,1.43,-146.08,NLOS
26,-13442870.65,4,4,0,4,18376.51,171.01,0.15,-151.55,NLOS
26,-13461070.47,4,4,0,4,18376.45,170.96,-0.06,-157.23,NLOS
26,-13479270.15,4,4,0,4,18376.48,170.98,0.02,-163.04,NLOS
26,-16155326.09,4,4,0,21,18401.94,199.14,35.85,-75.79,NLOS
26,-16173528.58,4,4,0,13,18402.26,199.76,0.62,-75.8,NLOS
26,-16191731.62,4,4,0,4,18402.96,200.16,0.4,-75.55,NLOS
26,-16209934.3,4,4,0,4,18402.75,199.95,-0.21,-75.67,NLOS
15,-22433008.56,4,4,0,7,17706.07,466.81,83.58,17828995.35,NLOS
34,-10159503.21,5,4,-1,0,0,21315394.08,21315394.08,-8.85,NLOS
35,-11561430.83,5,4,-1,4,17700.89,504.61,-0.48,34.95,NLOS
15,-21691431.09,11,4,-7,23,17565.24,22979.33,23519.8,17851540.3,NLOS
26,-15281596.06,13,4,4,9,18403.37,199.68,6.89,-55.93,NLOS
26,-16137123.75,13,4,-9,21,18365.79,163.29,-19.25,-75.33,NLOS
35,-11179113.05,14,4,10,0,0,21286858.22,21286858.22,31.1,NLOS
26,-3468801.35,16,4,-1,15,18549.3,353.7,0.08,-76.05,NLOS
35,-11470431.5,16,4,-12,19,17540.88,664.92,-153.43,61.9,NLOS
6,-35016702.87,16,4,-2,24,18804.11,150367.71,149778.46,19081645.18,NLOS
26,-16537603.25,16,4,12,0,0,22088259.34,22088259.34,-53.19,NLOS
26,-15190570.19,21,4,-17,24,18323.92,120.22,-73.69,-63.02,NLOS
35,-11579636.76,5,5,0,5,17701.12,504.37,0.24,35.39,NLOS
26,-15245180.09,5,5,0,8,18394.08,190.39,-1.29,-64.21,NLOS
26,-15208774.2,6,5,-1,24,18395.56,191.86,71.64,-62.7,NLOS
26,-16228176.4,18,5,12,4,18442.33,239.83,39.88,-36.07,NLOS
28,-1796147.64,7,7,0,22,18234.06,40.85,33.06,2370.65,NLOS
47,-17554652.28,7,7,0,24,17899.41,279.59,58061.08,15142293.12,NLOS
