 Elevation, residuals, C/No Max, C/No Min, C/No Delta, MaxCno2Second, Delta Carrier phase, deltaCorrected PR, 2nd delta,PS Residual, Los Value
38,-499122.5,42,42,0,42,17779.24,414.57,-0.33,51.83,LOS
38,-735612.19,42,42,0,43,17779.53,413.38,-0.61,54.74,LOS
49,-880521.19,42,42,0,42,18427.29,234.69,-1.01,94.71,LOS
78,-3870719.6,42,42,0,42,18123.31,72.25,-0.15,10.33,NLOS
9,-4637522.88,42,42,0,43,17617.7,576.92,-0.42,87.5,LOS
78,-5453668.92,42,42,0,43,18133.5,62.74,0.06,9.92,NLOS
62,-9455929.8,42,42,0,43,18593.91,385.69,1.11,-15.38,NLOS
48,-9505165.14,42,42,0,43,17926.17,283.96,-0.11,33.52,LOS
47,-9606895.1,42,42,0,43,18513.86,305.07,-5.52,101.32,NLOS
79,-10949718.34,42,42,0,43,18177.76,30.27,-3.73,11.37,LOS
60,-10967119.24,42,42,0,42,18598.68,392.52,-7.25,-23.95,NLOS
60,-11058150.54,42,42,0,43,18599.21,393.25,-1.9,-33.62,NLOS
49,-11398665.08,42,42,0,43,17924.62,280.77,0.37,34.49,LOS
49,-11507899.65,42,42,0,42,17924.8,281.18,1.37,31.32,LOS
49,-11526103.92,42,42,0,42,17924.83,276.3,4.88,35.8,LOS
49,-11544311.2,42,42,0,42,17925,278.96,-2.66,37.59,LOS
49,-11562515.67,42,42,0,42,17925.08,282.04,-3.08,36.27,LOS
60,-11731755.92,42,42,0,43,18602.09,396.9,-0.01,-29.21,NLOS
60,-11749961.76,42,42,0,43,18602.38,397.64,0.75,-28.57,NLOS
60,-11768167.84,42,42,0,42,18602.54,397.98,0.33,-27.69,NLOS
60,-11786374.1,42,42,0,42,18602.89,400.66,2.68,-24.22,NLOS
60,-11822786.74,42,42,0,43,18603.26,397.91,0.09,-23.17,NLOS
60,-11840992.95,42,42,0,43,18603.35,397.89,-0.02,-22.76,NLOS
60,-11859198.94,42,42,0,42,18603.3,397.77,-0.12,-22.57,NLOS
79,-13480330.12,42,42,0,43,18193.81,11.66,0.25,7.6,LOS
79,-13498535.94,42,42,0,43,18194.01,11.45,0.21,7.92,LOS
79,-13516746.57,42,42,0,42,18194.15,11.9,-0.44,12.46,LOS
79,-13534952.54,42,42,0,42,18194.35,11.69,0.2,12.33,LOS
46,-13812548.33,42,42,0,42,18549.17,343.67,2.4,124.41,NLOS
12,-14211129.73,42,42,0,42,17646.25,557.9,0.12,93.17,LOS
42,-14432072.41,42,42,0,48,17836.03,367.18,-0.11,59.84,LOS
58,-15390964.88,42,42,0,42,18619.28,415.95,-0.01,-27.01,NLOS
12,-15412551.22,42,42,0,42,17648.19,555.14,-0.08,83.56,LOS
58,-15518389.72,42,42,0,43,18620.01,416.66,0.17,-26.25,NLOS
56,-16083550.19,42,42,0,43,18616.51,413.8,0.08,7.92,NLOS
56,-16575042.13,42,42,0,43,18618.57,409.12,-12.71,31.47,NLOS
44,-321337.62,42,42,0,42,18592.27,383.18,-13.29,-4.89,NLOS
44,-448673.14,42,42,0,43,18596.3,398.9,4.87,-5.02,NLOS
44,-466877.94,42,42,0,43,18593.82,389.53,-9.37,-4.52,NLOS
44,-485154.19,42,42,0,42,18595.12,330.56,-58.96,7.18,NLOS
44,-152751.98,42,42,0,42,18597.04,397.24,0.02,48.43,NLOS
44,-170952.25,42,42,0,42,18595.6,395.8,-1.44,48.9,NLOS
44,-189151.43,42,42,0,42,18595.62,395.82,0.02,48.28,NLOS
44,-261953.7,42,42,0,43,18596.89,396.49,0.43,49.55,NLOS
44,-280154.87,42,42,0,43,18597.18,396.49,0,50.03,NLOS
52,-469703.84,42,42,0,43,17934.05,267.33,-0.26,29.54,NLOS
52,-487905.52,42,42,0,43,17933.96,267.42,-0.09,29.93,NLOS
52,-1798318.77,42,42,0,42,17934.76,265.26,0.62,29.54,NLOS
52,-1816519.48,42,42,0,42,17934.91,265.74,-0.48,29.55,NLOS
52,-1834719.42,42,42,0,42,17935.06,265.61,0.13,28.8,NLOS
52,-2198703.76,42,42,0,43,18003.96,265.74,-1.13,29.24,NLOS
52,-2671844.16,42,42,0,43,17937.4,265.43,-0.47,23.57,NLOS
52,-4236738.76,42,42,0,42,17933.34,262.55,-1.46,28.79,NLOS
38,-335385.35,43,42,-1,44,17776.96,417.2,1.88,51.43,LOS
38,-353646,43,42,-1,43,17846.07,402.63,14.57,63.41,LOS
38,-517309.01,43,42,-1,42,17771.39,414.05,0.52,52.64,LOS
38,-535502.04,43,42,-1,43,17778.93,414.02,0.03,52.46,LOS
38,-553685.49,43,42,-1,43,17768.56,413.93,0.08,53.2,LOS
38,-571889,43,42,-1,43,17789.26,414.31,-0.38,53.01,LOS
38,-699226.06,43,42,-1,44,17771.53,412.93,-0.17,54.12,LOS
38,-717419.3,43,42,-1,44,17779.8,412.77,0.16,54.75,LOS
8,-769501.93,43,42,-1,44,17608.89,584.07,-0.01,90.92,LOS
8,-787694.04,43,42,-1,44,17608.76,583.87,0.19,90.43,LOS
49,-898656.01,43,42,-1,42,18371.2,234.06,-0.63,92.39,LOS
49,-916847.17,43,42,-1,43,18428.29,235.39,1.33,90.64,LOS
49,-935092.5,43,42,-1,43,18484.08,235.12,-0.27,87,LOS
38,-972102.97,43,42,-1,42,17834.88,414.12,-1.58,54.25,LOS
49,-953225.95,43,42,-1,43,18370.61,233.17,-1.95,83.02,LOS
38,-990239.99,43,42,-1,43,17725.79,411.66,2.46,53.82,LOS
38,-1008431.81,43,42,-1,43,17780.37,412.84,-1.18,52.43,LOS
49,-1280640.71,43,42,-1,44,18431.1,238.5,-0.16,45.58,LOS
49,-1298828.7,43,42,-1,44,18429.19,236.59,-1.91,40.96,LOS
49,-1317017.6,43,42,-1,43,18429.32,237.02,0.43,37.56,LOS
49,-1335205.22,43,42,-1,43,18429.31,237.31,0.29,33.17,LOS
65,-1977709.18,43,42,-1,44,18537.02,344.66,-0.07,-22.3,NLOS
65,-1995901.79,43,42,-1,43,18537.4,345.04,0.38,-21.99,NLOS
44,-2080279.82,43,42,-1,42,17875.39,318.16,-0.36,566.05,NLOS
39,-2129146.71,43,42,-1,42,17785.02,408.51,0.16,59.5,LOS
44,-2917196.12,43,42,-1,44,17879.77,314.11,0.09,558.11,NLOS
44,-2935390.17,43,42,-1,43,17880.19,313.98,0.12,558.06,NLOS
44,-2953584.02,43,42,-1,43,17880.07,314.09,-0.11,557.81,NLOS
44,-2971777.85,43,42,-1,43,17880.1,314.03,0.06,557.53,NLOS
44,-2989971.75,43,42,-1,43,17880.24,313.86,0.17,557.33,NLOS
44,-3008165.67,43,42,-1,43,17880.32,313.75,0.11,557.15,NLOS
44,-3026359.22,43,42,-1,43,17880.03,313.74,0.02,556.89,NLOS
44,-3080940.12,43,42,-1,43,17880.48,313.31,-0.17,556.68,NLOS
44,-3099134.09,43,42,-1,43,17880.88,313.25,0.06,556.55,NLOS
44,-3117328.24,43,42,-1,43,17881.19,312.69,0.57,556.89,NLOS
44,-3135522.29,43,42,-1,43,17881.22,312.99,-0.3,556.84,NLOS
40,-3420937.81,43,42,-1,42,17790.97,404.62,-0.22,61.7,LOS
78,-3888915.15,43,42,-1,42,18123.32,72.21,0.04,10.27,NLOS
78,-3907110.72,43,42,-1,43,18123.45,71.77,0.43,10.54,NLOS
78,-3925306.55,43,42,-1,43,18123.82,71.99,-0.22,10.47,NLOS
78,-3943502.61,43,42,-1,43,18124.14,71.96,0.03,10.32,NLOS
78,-3961698.87,43,42,-1,43,18124.46,71.33,0.63,10.69,NLOS
78,-3979895.14,43,42,-1,43,18124.56,71.52,-0.19,10.75,NLOS
78,-3998091.44,43,42,-1,43,18124.72,71.07,0.45,11.15,NLOS
78,-4016287.79,43,42,-1,43,18124.89,71.51,-0.44,11,NLOS
78,-4034484.06,43,42,-1,43,18124.93,71.19,0.33,11.06,NLOS
78,-4052680.19,43,42,-1,43,18124.94,71.2,-0.02,10.99,NLOS
78,-4070876.34,43,42,-1,43,18125.07,71.08,0.12,10.94,NLOS
78,-4089072.6,43,42,-1,43,18125.31,70.85,0.23,11,NLOS
78,-4107268.7,43,42,-1,43,18125.26,70.9,-0.05,10.89,NLOS
78,-4125464.73,43,42,-1,43,18125.28,70.86,0.04,10.72,NLOS
78,-4143660.86,43,42,-1,43,18125.47,70.65,0.21,10.64,NLOS
9,-4364596.77,43,42,-1,43,17618.79,577.06,0.53,85.9,LOS
9,-4382793.41,43,42,-1,43,17619.37,576.77,0.29,86.33,LOS
9,-4400989.12,43,42,-1,43,17618.48,577.37,-0.6,86.13,LOS
9,-4419184.34,43,42,-1,43,17618.03,577.22,0.15,86.05,LOS
9,-4437379.88,43,42,-1,43,17618.39,577.17,0.05,85.98,LOS
9,-4455575.84,43,42,-1,43,17618.84,576.41,0.76,86.63,LOS
40,-4458084.34,43,42,-1,44,17794.87,400.51,0.77,63.33,LOS
9,-4473771.07,43,42,-1,43,17618.14,576.8,-0.39,86.86,LOS
9,-4491966.02,43,42,-1,43,17617.89,576.76,0.04,87.1,LOS
9,-4510160.84,43,42,-1,43,17617.82,576.84,-0.08,87.22,LOS
9,-4528355.94,43,42,-1,43,17618.12,576.54,0.31,87.61,LOS
9,-4546550.7,43,42,-1,43,17617.81,576.55,-0.01,87.96,LOS
78,-4543966.15,43,42,-1,44,18126.14,68.66,-0.65,11.16,NLOS
9,-4564745.01,43,42,-1,43,17617.38,577.26,-0.71,87.56,LOS
78,-4562160.08,43,42,-1,43,18126.05,68.45,0.21,10.69,NLOS
9,-4582939.12,43,42,-1,43,17617.2,577.12,0.14,87.26,LOS
78,-4580354.18,43,42,-1,43,18126.34,67.87,0.58,10.69,NLOS
9,-4601133.41,43,42,-1,43,17617.41,576.61,0.51,87.44,LOS
78,-4598548.94,43,42,-1,43,18127.13,67.67,0.2,10.75,NLOS
9,-4619328.37,43,42,-1,43,17618.12,576.5,0.11,87.7,LOS
78,-4616743.28,43,42,-1,43,18126.78,68.01,-0.33,10.38,NLOS
78,-4634937.42,43,42,-1,43,18126.7,67.8,0.21,10.11,NLOS
78,-4653131.56,43,42,-1,43,18126.81,67.98,-0.18,9.55,NLOS
78,-4671326.12,43,42,-1,43,18127.34,67.15,0.83,9.7,NLOS
78,-4689520.95,43,42,-1,43,18127.76,67.36,-0.21,9.54,NLOS
78,-4707714.63,43,42,-1,43,18126.72,67.8,-0.44,8.81,NLOS
78,-4725908.21,43,42,-1,43,18126.73,67.19,0.61,8.59,NLOS
78,-4980610.97,43,42,-1,42,18127.05,65.24,0.3,7.67,NLOS
78,-4998803.79,43,42,-1,43,18127.51,64.75,0.49,8.19,NLOS
78,-5016996.24,43,42,-1,43,18127.24,65.01,-0.26,8.34,NLOS
78,-5035188.33,43,42,-1,43,18126.99,64.96,0.05,8.42,NLOS
40,-5058514.51,43,42,-1,42,17793,399.64,0.06,100.35,LOS
40,-5076706.22,43,42,-1,43,17793.34,399.57,0.06,99.75,LOS
78,-5253516.27,43,42,-1,44,18131.37,63.67,0.23,9.81,NLOS
78,-5271711.34,43,42,-1,43,18131.53,63.51,0.16,9.87,NLOS
78,-5289906.72,43,42,-1,43,18131.95,63.38,0.13,9.95,NLOS
78,-5308102.22,43,42,-1,43,18132.16,63.45,-0.07,9.85,NLOS
78,-5326297.73,43,42,-1,43,18132.27,63.03,0.42,10.06,NLOS
78,-5344493.4,43,42,-1,43,18132.52,63.05,-0.03,10.13,NLOS
78,-5362689.16,43,42,-1,43,18132.72,62.86,0.2,10.28,NLOS
78,-5380884.94,43,42,-1,43,18132.86,63.01,-0.15,10.16,NLOS
78,-5399080.68,43,42,-1,43,18132.94,62.64,0.37,10.29,NLOS
78,-5417277.04,43,42,-1,43,18133.69,62.51,0.13,10.45,NLOS
78,-5435473.01,43,42,-1,43,18133.43,62.79,-0.28,10.22,NLOS
40,-5567964.59,43,42,-1,44,17799.09,397.68,-0.07,90.62,LOS
40,-5586160.91,43,42,-1,44,17799.35,397.76,-0.07,90.14,LOS
78,-5890356.48,43,42,-1,42,18135.23,60.09,0.25,-0.29,NLOS
78,-5908551.65,43,42,-1,43,18135.57,59.45,0.65,-0.12,NLOS
78,-5926746.65,43,42,-1,43,18135.51,59.49,-0.05,-0.12,NLOS
78,-5944939.62,43,42,-1,43,18133.58,60.51,-1.02,-1.26,NLOS
78,-5963132.5,43,42,-1,43,18133.58,59.89,0.62,-1.88,NLOS
78,-5981325.75,43,42,-1,43,18134.05,59.12,0.78,-1.84,NLOS
62,-9437720.87,43,42,-1,43,18593.08,384.57,-0.59,-16.11,NLOS
47,-9424816.86,43,42,-1,43,18516.84,308.34,-2.28,117.92,NLOS
47,-9443025.32,43,42,-1,43,18517.6,309.41,1.07,118.18,NLOS
47,-9461235.85,43,42,-1,43,18519.82,311.03,1.62,119.92,NLOS
47,-9479447.76,43,42,-1,43,18521.35,311.96,0.93,122.44,NLOS
47,-9497657.03,43,42,-1,43,18518.86,308.86,-3.1,121.71,NLOS
47,-9515864.57,43,42,-1,43,18517.28,306.99,-1.87,118.96,NLOS
48,-9486955.63,43,42,-1,42,17926.58,283.85,-0.45,34,LOS
47,-9534072.38,43,42,-1,43,18517.69,307.4,0.41,116.48,NLOS
47,-9552275.86,43,42,-1,43,18513.52,303.52,-3.88,109.97,NLOS
47,-9570482.07,43,42,-1,43,18516.39,306.69,3.17,106.48,NLOS
61,-9601608.83,43,42,-1,42,18594.71,385.33,0.14,-14.2,NLOS
47,-9588691.72,43,42,-1,43,18519.98,310.59,3.89,106.74,NLOS
61,-9619817.6,43,42,-1,43,18594.56,385.8,0.47,-14.22,NLOS
61,-9638026.2,43,42,-1,43,18594.49,385.72,-0.08,-14.42,NLOS
61,-9656234.76,43,42,-1,43,18594.52,385.79,0.06,-14.65,NLOS
61,-9674443.08,43,42,-1,43,18594.36,385.94,0.15,-14.82,NLOS
61,-9692651.34,43,42,-1,43,18594.39,386.28,0.34,-14.76,NLOS
61,-9710859.64,43,42,-1,43,18594.52,386.4,0.13,-14.66,NLOS
61,-9729067.87,43,42,-1,43,18594.55,386.75,0.34,-14.31,NLOS
61,-9747275.87,43,42,-1,43,18594.42,386.3,-0.44,-14.51,NLOS
61,-9765483.73,43,42,-1,43,18594.37,386.56,0.25,-14.55,NLOS
61,-9783691.66,43,42,-1,43,18594.54,387.02,0.47,-14.21,NLOS
61,-9801896.6,43,42,-1,43,18594.73,388.1,1.08,-15.97,NLOS
79,-10057610.92,43,42,-1,44,18173.99,32.88,-0.08,16.14,LOS
79,-10075818.7,43,42,-1,43,18174.17,33,-0.12,16.62,LOS
79,-10094026.19,43,42,-1,43,18173.97,33.16,-0.17,16.82,LOS
79,-10112233.37,43,42,-1,43,18174.07,33.34,-0.18,16.71,LOS
79,-10130440.33,43,42,-1,43,18173.92,33.17,0.17,16.67,LOS
79,-10148647.44,43,42,-1,43,18174.15,32.9,0.28,16.79,LOS
79,-10166854.75,43,42,-1,43,18174.32,32.89,0,16.79,LOS
79,-10185062.23,43,42,-1,43,18174.49,32.59,0.3,16.99,LOS
79,-10203269.61,43,42,-1,43,18174.53,32.59,0,17.07,LOS
79,-10221476.95,43,42,-1,43,18174.56,32.51,0.08,17.12,LOS
79,-10239684.59,43,42,-1,43,18174.9,32.1,0.41,17.46,LOS
79,-10257892.03,43,42,-1,43,18174.96,32.19,-0.09,17.6,LOS
42,-10645304.86,43,42,-1,48,17825.65,382.66,-0.25,54.13,LOS
42,-10663507.38,43,42,-1,47,17825.76,383.57,-0.91,50.86,LOS
57,-10876933.92,43,42,-1,42,18592.01,385.65,-0.52,2.92,NLOS
57,-10895138.23,43,42,-1,43,18592.01,384.97,-0.68,1.73,NLOS
57,-11022575.83,43,42,-1,44,18592.28,387.26,0.87,2.04,NLOS
42,-10881946.32,43,42,-1,42,17825.85,378.47,0.78,23.84,LOS
57,-11040781.61,43,42,-1,44,18592.57,387.53,0.27,2.63,NLOS
