 Elevation, Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
48.000000,0.000000,-4562932.615578,35.000000,34.000000,34.000000,40.000000,0.000000,-0.104000,17999.944728,0.000017,0.000000,0.000000,196.907734,-0.139721,457.286442,NLOS
46.000000,0.000000,-11482078.508580,39.000000,0.000000,37.000000,57.000000,0.000000,0.259000,18517.862213,0.000037,0.000000,0.000000,307.569482,-17.611794,-2.776738,LOS
53.000000,0.000000,-1003822.707137,47.000000,46.000000,47.000000,47.000000,36.000000,-0.062000,18640.329455,-0.000556,0.000000,0.000000,438.698040,-0.250587,-11.635526,LOS
40.000000,2.000000,-10649516.198281,32.000000,31.000000,37.000000,39.000000,0.000000,-0.002000,18381.858002,0.000324,0.000000,0.000000,174.725378,-0.282663,-31.096519,NLOS
64.000000,2.000000,-2741859.169871,48.000000,47.000000,48.000000,48.000000,42.000000,-0.334000,18541.847386,-0.000007,0.000000,0.000000,348.698633,-0.322134,-21.389834,LOS
14.000000,2.000000,-15034833.973174,36.000000,35.000000,36.000000,38.000000,20.000000,-0.160000,18040.581018,-0.000154,0.000000,0.000000,163.038537,-0.007224,94.126820,NLOS
24.000000,0.000000,-15171862.245270,16.000000,15.000000,15.000000,42.000000,0.000000,0.605000,18574.859840,0.000117,0.000000,0.000000,371.162543,3.878162,74.385782,NLOS
32.000000,0.000000,-2080467.244942,22.000000,7.000000,28.000000,29.000000,7.000000,0.541000,17638.443831,-0.000471,0.000000,0.000000,553.562378,9.145062,17.288106,LOS
12.000000,0.000000,-2454897.022769,27.000000,26.000000,27.000000,37.000000,25.000000,-0.893000,17405.819633,0.000128,0.000000,0.000000,794.279336,5.731119,56.784115,LOS
14.000000,0.000000,-4795987.144547,31.000000,30.000000,30.000000,32.000000,0.000000,-0.051000,18089.065719,-0.000154,0.000000,0.000000,85.312597,11.154078,142.033722,NLOS
52.000000,0.000000,-3205935.694700,51.000000,50.000000,51.000000,53.000000,36.000000,-0.013000,18672.315959,-0.000556,0.000000,0.000000,447.285531,-1.533044,-18.835260,LOS
26.000000,0.000000,-2595508.748933,29.000000,28.000000,28.000000,37.000000,14.000000,-0.148000,18547.437592,0.000117,0.000000,0.000000,353.933239,1.655435,-44.768832,NLOS
44.000000,0.000000,-898985.336095,42.000000,41.000000,42.000000,43.000000,41.000000,0.134000,18600.311606,0.000037,0.000000,0.000000,399.012649,-0.956514,55.810723,NLOS
66.000000,0.000000,-948020.213393,44.000000,44.000000,45.000000,48.000000,44.000000,-0.432000,18588.694125,-0.000007,0.000000,0.000000,339.685110,0.747241,-23.098665,LOS
26.000000,0.000000,-10930562.216629,7.000000,0.000000,15.000000,23.000000,0.000000,4.557000,18333.726524,-0.000006,0.000000,0.000000,139.622586,26.680069,-46.668250,NLOS
79.000000,0.000000,-912753.301355,48.000000,47.000000,48.000000,50.000000,47.000000,0.004000,18238.436595,-0.000009,0.000000,0.000000,37.169801,-0.093670,14.360232,LOS
43.000000,2.000000,-14996386.977687,54.000000,53.000000,54.000000,54.000000,0.000000,0.330000,17837.793194,-0.000087,0.000000,0.000000,365.610249,0.011938,70.575125,LOS
26.000000,0.000000,-3068551.138489,31.000000,31.000000,30.000000,37.000000,14.000000,0.584000,18549.565068,0.000117,0.000000,0.000000,355.461130,5.059075,-34.092047,NLOS
48.000000,0.000000,-5884174.001913,25.000000,24.000000,33.000000,37.000000,7.000000,-2.422000,17904.428358,0.000194,0.000000,0.000000,308.317213,25.895992,75.288501,NLOS
39.000000,2.000000,-14254222.342313,35.000000,34.000000,36.000000,37.000000,0.000000,0.096000,18403.996036,0.000324,0.000000,0.000000,198.458592,1.212629,-36.143241,NLOS
38.000000,2.000000,-1692521.293129,48.000000,47.000000,48.000000,48.000000,40.000000,-0.095000,17782.001693,-0.000087,0.000000,0.000000,410.207619,0.482037,59.304506,LOS
38.000000,0.000000,-1135779.084893,46.000000,45.000000,45.000000,47.000000,40.000000,0.297000,17780.704958,-0.000087,0.000000,0.000000,411.332222,-0.193355,52.071769,LOS
26.000000,0.000000,-3250502.535349,27.000000,26.000000,33.000000,37.000000,14.000000,-0.072000,18548.625638,0.000117,0.000000,0.000000,353.322530,-0.928472,-29.130834,NLOS
48.000000,0.000000,-2692592.437652,38.000000,38.000000,38.000000,46.000000,10.000000,0.132000,18444.337229,0.000037,0.000000,0.000000,251.132668,0.942240,136.157990,LOS
45.000000,0.000000,-16178936.683271,47.000000,46.000000,47.000000,57.000000,0.000000,-0.018000,18563.672491,0.000037,0.000000,0.000000,360.874572,-0.385026,49.505135,LOS
48.000000,0.000000,-941689.847645,29.000000,28.000000,29.000000,34.000000,26.000000,-0.326000,17984.139071,0.000017,0.000000,0.000000,216.822840,0.028644,480.784950,NLOS
40.000000,0.000000,-4494456.472132,38.000000,37.000000,43.000000,50.000000,26.000000,0.225000,17794.429618,-0.000087,0.000000,0.000000,404.460498,10.528863,45.756156,LOS
79.000000,2.000000,-14244958.776483,43.000000,42.000000,43.000000,46.000000,0.000000,0.200000,18196.993419,-0.000009,0.000000,0.000000,7.344206,-0.088415,14.407429,LOS
12.000000,0.000000,-166584.613934,36.000000,36.000000,37.000000,37.000000,36.000000,-0.590000,17414.707630,0.000128,0.000000,0.000000,788.689057,7.928430,72.888340,LOS
