Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
76.0000000000,0.0000000000,3502646.2627237700,37.0000000000,36.0000000000,37.0000000000,37.0000000000,36.0000000000,0.3530000000,18096.6080123335,-0.0000093456,0.0000000000,0.0000000000,96.4878642559,1283621378.5976600000,-1287598788.5700600000,NLOS
46.0000000000,0.0000000000,3563359.2967328800,32.0000000000,31.0000000000,32.0000000000,32.0000000000,31.0000000000,0.1680000000,17897.0783229768,0.0001937000,0.0000000000,0.0000000000,295.9673058987,1283618577.2574300000,-1287598630.0842200000,NLOS
66.0000000000,0.0000000000,3503456.1868176100,48.0000000000,47.0000000000,48.0000000000,48.0000000000,47.0000000000,0.2670000000,18526.3427963294,-0.0000067731,0.0000000000,0.0000000000,333.5343298912,1283618598.5690900000,-1287598827.2902200000,LOS
38.0000000000,0.0000000000,3479371.1714571900,47.0000000000,46.0000000000,47.0000000000,47.0000000000,46.0000000000,0.2380000000,17776.9338954836,-0.0000868466,0.0000000000,0.0000000000,416.0645413399,1283644612.7388800000,-1287598747.6953400000,LOS
8.0000000000,0.0000000000,3481866.9121506200,45.0000000000,44.0000000000,45.0000000000,45.0000000000,44.0000000000,0.2070000000,17607.4342855513,-0.0000783984,0.0000000000,0.0000000000,585.4285004139,1283642079.9861200000,-1287598710.7377000000,LOS
32.0000000000,0.0000000000,3143527.9321484200,33.0000000000,32.0000000000,32.0000000000,33.0000000000,24.0000000000,-0.0080000000,18545.0618508793,0.0000000000,0.0000000000,0.0000000000,352.1565372944,1283618568.0825500000,-1287236868.5105200000,NLOS
49.0000000000,0.0000000000,3516337.0306593900,46.0000000000,45.0000000000,46.0000000000,46.0000000000,45.0000000000,0.2240000000,18419.9419929832,0.0000367163,0.0000000000,0.0000000000,11234.3070573806,1283629584.3102300000,-1287598670.3386600000,LOS
31.0000000000,0.0000000000,3362499.8276595400,23.0000000000,22.0000000000,24.0000000000,24.0000000000,22.0000000000,1.8360000000,17616.4485138617,0.0000000000,0.0000000000,0.0000000000,576.4567997456,1283618566.9133800000,-1287455840.4060400000,LOS
28.0000000000,0.0000000000,3502949.8410406400,21.0000000000,20.0000000000,21.0000000000,21.0000000000,20.0000000000,1.2130000000,18261.5307130441,0.0000000000,0.0000000000,0.0000000000,68.6253995895,1283618570.7349800000,-1287596290.4194200000,NLOS
76.0000000000,0.0000000000,-21005.3878197930,37.0000000000,36.0000000000,37.0000000000,37.0000000000,36.0000000000,-0.0680000000,3523555.8584497900,-0.0000093456,0.0000000000,0.0000000000,1287598707.0194700000,1287598803.5073400000,14.3513285778,NLOS
