 PRN, GPS Software Time, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
32,463644.0002,54,2,-141212.7065,46,45,46,-0.096,18387.2507,-2.30E-04,1.08E-11,0.0027642,190.2160718,-1.330462046,0.171609938,NLOS
3,463644.0002,54,2,-14149.5992,42,41,42,-0.089,17940.28217,1.94E-04,2.19E-11,2.76E-04,255.9815016,-1.219099928,26.42606425,LOS
4,463644.0002,53,2,-74180.30786,48,48,49,-0.041,18672.00903,-6.77E-06,8.78E-13,0.0038724,475.0106326,-1.216319941,-21.42973129,LOS
8,463644.0002,49,2,-67491.96715,32,31,32,-0.025,18016.57265,1.72E-05,4.81E-12,-6.92E-04,182.1432424,-1.256487761,466.505604,NLOS
9,463644.0002,16,0,-96729.33291,22,21,23,-1.379,17668.65851,-7.79E-05,-1.08E-11,-0.004756,534.4266787,-37.39117147,1204.982609,NLOS
11,463644.0002,50,2,-238831.9783,48,47,48,-0.045,18666.31799,-5.56E-04,-2.09E-12,0.0038514,469.4543598,-1.221330136,-27.27688511,NLOS
17,463644.0002,14,2,-118487.6888,34,33,34,-0.041,18105.80915,-1.54E-04,-9.37E-13,0.003533,91.8494564,-0.586411603,60.23259441,NLOS
23,463644.0002,46,2,-98274.21936,40,39,40,-0.074,17873.8854,-8.68E-05,6.36E-13,-0.0013695,322.9214859,-1.197505143,67.09128124,NLOS
31,463644.0002,37,2,24976.49747,39,38,39,-0.005,18483.68618,3.24E-04,-1.03E-12,0.0043707,286.8126429,-1.427581266,-40.7146057,NLOS
32,463645.0003,54,2,-159410.1159,46,45,46,-0.078,18387.17162,-2.30E-04,1.08E-11,0,189.2944826,-0.921589252,-0.117812213,NLOS
3,463645.0003,54,2,-32347.69362,42,41,42,-0.092,17940.18956,1.94E-04,2.19E-11,0,257.0114006,-1.029898945,26.82504909,LOS
4,463645.0003,53,2,-92377.72079,48,48,49,-0.029,18671.97913,-6.77E-06,8.78E-13,0,474.1142484,-0.896384183,-21.71852657,LOS
8,463645.0003,49,2,-85687.42532,32,31,32,0.019,18016.59184,1.72E-05,4.81E-12,0,183.1319494,-0.988706939,464.2632254,NLOS
9,463645.0003,16,0,-114898.0833,22,21,22,-0.502,17668.15784,-7.79E-05,-1.08E-11,0,558.0897713,-23.66309265,1176.027784,NLOS
11,463645.0003,50,2,-257029.5309,48,47,48,-0.041,18666.27671,-5.56E-04,-2.09E-12,0,468.5527191,-0.901640654,-27.42696232,NLOS
17,463645.0003,14,2,-136685.2675,34,33,34,0.006,18105.8157,-1.54E-04,-9.37E-13,0,91.89382415,-0.044367749,60.10897547,NLOS
23,463645.0003,46,2,-116471.7208,40,39,40,-0.043,17873.84099,-8.68E-05,6.36E-13,0,323.9728613,-1.051375397,66.89092242,NLOS
31,463645.0003,37,2,6778.902041,38,38,39,-0.002,18483.68334,3.24E-04,-1.03E-12,0,285.9955346,-0.817108274,-40.82147532,NLOS
32,463646.0004,54,2,-177607.7836,46,45,46,0.303,18387.47434,-2.30E-04,1.08E-11,0,189.8869591,0.592476543,0.150935587,NLOS
3,463646.0004,54,2,-50545.98118,43,42,42,0.302,17940.49136,1.94E-04,2.19E-11,0,256.4889646,0.522435915,27.71697493,LOS
4,463646.0004,53,2,-110575.4215,49,48,48,0.351,18672.33141,-6.77E-06,8.78E-13,0,474.7865742,0.67232576,-21.41977439,LOS
8,463646.0004,49,2,-103883.2041,32,31,32,0.35,18016.94152,1.72E-05,4.81E-12,0,182.4046185,0.727330815,462.6412841,NLOS
9,463646.0004,16,0,-133069.7941,22,21,22,0.719,17668.87626,-7.79E-05,-1.08E-11,0,554.788168,3.301603314,1150.333106,NLOS
74,463646.0004,41,0,-97567.196,34,33,34,0.924,18641.38446,3.67E-05,1.82E-12,0,443.9828052,6.434102044,8.881697323,NLOS
11,463646.0004,50,2,-275227.3728,48,47,48,0.353,18666.63009,-5.56E-04,-2.09E-12,0,469.2242877,0.671568606,-26.98786974,NLOS
17,463646.0004,14,2,-154883.4298,34,33,34,0.353,18106.16931,-1.54E-04,-9.37E-13,0,90.90630777,0.987516377,60.86885982,NLOS
23,463646.0004,46,2,-134669.4421,40,39,40,0.32,17874.16232,-8.68E-05,6.36E-13,0,323.3916888,0.581172481,67.2102103,NLOS
31,463646.0004,37,2,-11419.02242,38,37,39,0.39,18484.07326,3.24E-04,-1.03E-12,0,286.7404355,0.744900946,-40.2995182,NLOS
32,463647.0004,54,2,-195805.5256,46,45,46,0.125,18387.59112,-2.30E-04,1.08E-11,0,189.6957669,-0.191192187,0.194172557,NLOS
3,463647.0004,54,2,-68744.23573,43,42,43,0.114,17940.59654,1.94E-04,2.19E-11,0,256.7922813,-0.303316668,28.27609962,LOS
4,463647.0004,53,2,-128773.2416,49,48,49,0.172,18672.49343,-6.77E-06,8.78E-13,0,474.6909858,-0.095588438,-21.30140455,LOS
8,463647.0004,49,2,-122079.1818,32,31,32,0.199,18017.13199,1.72E-05,4.81E-12,0,182.398726,0.005892534,460.9183443,NLOS
9,463647.0004,16,0,-151262.9569,23,22,22,0.191,17669.05812,-7.79E-05,-1.08E-11,0,533.5944694,21.19369858,1145.790701,NLOS
74,463647.0004,41,0,-115753.9925,34,33,34,-0.549,18631.57368,3.67E-05,1.82E-12,0,433.8722313,-10.1105739,-2.023290988,NLOS
11,463647.0004,50,2,-293425.2704,48,47,48,0.172,18666.79182,-5.56E-04,-2.09E-12,0,469.0626315,-0.161656201,-26.79284159,NLOS
17,463647.0004,14,2,-173081.8973,34,33,34,0.204,18106.36173,-1.54E-04,-9.37E-13,0,90.79701669,0.109291084,61.6340275,NLOS
23,463647.0004,46,2,-152867.2431,39,38,40,0.153,17874.30446,-8.68E-05,6.36E-13,0,323.5502761,-0.158587277,67.30940711,NLOS
31,463647.0004,37,2,-29616.84819,38,37,38,0.198,18484.2616,3.24E-04,-1.03E-12,0,286.458027,-0.282408562,-40.17604993,NLOS
32,463648.0005,54,2,-214003.0749,46,45,46,-0.209,18387.3898,-2.30E-04,1.08E-11,0,189.5373698,-0.158397131,0.044718035,NLOS
3,463648.0005,54,2,-86942.22662,43,42,43,-0.205,17940.40086,1.94E-04,2.19E-11,0,257.0264259,-0.234144557,28.57155648,LOS
4,463648.0005,53,2,-146970.854,49,48,49,-0.15,18672.35229,-6.77E-06,8.78E-13,0,474.5680527,-0.122933034,-21.39068635,LOS
8,463648.0005,49,2,-140274.8755,32,31,32,-0.119,18017.02179,1.72E-05,4.81E-12,0,182.5756343,-0.176908337,458.9115731,NLOS
9,463648.0005,16,0,-169455.8943,28,23,23,-0.574,17668.49361,-7.79E-05,-1.08E-11,0,533.7784106,-0.183941163,1141.022858,NLOS
74,463648.0005,41,0,-133963.9726,34,33,34,-0.009,18654.88264,3.67E-05,1.82E-12,0,457.1811972,23.30896592,10.25545049,NLOS
11,463648.0005,50,2,-311622.9509,48,47,48,-0.154,18666.64713,-5.56E-04,-2.09E-12,0,468.9277867,-0.134844836,-26.81498614,NLOS
17,463648.0005,14,2,-191280.1739,34,33,34,-0.137,18106.23383,-1.54E-04,-9.37E-13,0,90.88384217,-0.086825483,62.20834981,NLOS
23,463648.0005,46,2,-171064.8363,39,38,40,-0.174,17874.13984,-8.68E-05,6.36E-13,0,323.6964991,-0.146223035,67.20083713,NLOS
31,463648.0005,37,2,-47814.47325,38,37,38,-0.125,18484.14589,3.24E-04,-1.03E-12,0,286.3733447,-0.084682327,-40.25329553,NLOS
32,463649.0005,54,2,-232200.6907,46,45,46,0.058,18387.44035,-2.30E-04,1.08E-11,0,189.6382794,0.100909635,-0.038144268,NLOS
3,463649.0005,54,2,-105140.3325,43,42,43,0.05,17940.44277,1.94E-04,2.19E-11,0,256.881939,0.144486811,28.98200224,LOS
4,463649.0005,53,2,-165168.4844,49,48,49,0.099,18672.44381,-6.77E-06,8.78E-13,0,474.6707281,0.102675397,-21.46205448,LOS
8,463649.0005,49,2,-158470.57,32,31,32,0.123,18017.1361,1.72E-05,4.81E-12,0,182.4680132,0.107621126,456.9055127,NLOS
9,463649.0005,16,0,-187646.1153,27,26,28,0.379,17668.86309,-7.79E-05,-1.08E-11,0,536.4534503,-2.675039772,1133.538539,NLOS
74,463649.0005,41,0,-152158.347,34,33,34,0.732,18639.40203,3.67E-05,1.82E-12,0,441.7005852,-15.48061203,6.928313538,NLOS
11,463649.0005,50,2,-329820.6852,48,47,48,0.101,18666.73947,-5.56E-04,-2.09E-12,0,469.063981,0.136194367,-26.78330079,NLOS
17,463649.0005,14,2,-209478.5431,34,33,34,0.127,18106.35209,-1.54E-04,-9.37E-13,0,90.68717353,0.196668636,62.87533152,NLOS
23,463649.0005,46,2,-189262.5858,39,38,39,0.082,17874.21358,-8.68E-05,6.36E-13,0,323.478743,0.217756066,67.24852023,NLOS
31,463649.0005,37,2,-66012.03798,38,37,38,0.138,18484.27613,3.24E-04,-1.03E-12,0,286.4290732,0.055728544,-40.39086679,NLOS
32,463650.0006,54,2,-250398.4752,46,45,46,0.119,18387.5689,-2.30E-04,1.08E-11,0,189.8411574,0.202877961,0.047577776,NLOS
3,463650.0006,54,2,-123338.5879,43,42,43,0.112,17940.56198,1.94E-04,2.19E-11,0,256.7028978,0.179041263,29.54195324,LOS
4,463650.0006,53,2,-183366.2148,49,48,49,0.172,18672.62423,-6.77E-06,8.78E-13,0,474.8554229,0.184694789,-21.43341545,LOS
8,463650.0006,49,2,-176666.4975,32,31,32,0.18,18017.32606,1.72E-05,4.81E-12,0,182.1280942,0.339919064,455.1324295,NLOS
