UTC Time, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, HDOP, Lat, Lon, Alt (Elipsoide), Alt (AMSL), Speed, Course, Estimated Horizontal Positioning Error, Estimated Vertical Positioning Error, Estimated Horizontal Velocity Error, Clock Bias, Clock Bias Error, Clock Drift, Clock Drift Error, EXTENDED GPS Week, GPS TOW, SVs number, Clock Drift 7, Clock Bias 7, Estimated GPS Time, PRN, GPS Software Time, Azimuth, Elevation, State, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, Pseudorange, residuals, C/No Max, C/No Min, C/No Delta, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Carrier Frequency, Carrier Phase, Delta Range Interval, Mean Delta Range Time, Clock Bias, Clock Drift, Ionospheric Delay, Filtered C/No Max, Filtered C/No Min, Filtered C/No Delta, Corrected PR, PrevoiusCorected PR, deltaCorrected PR, 2nd delta,PS Residual, Los Value
20152693519,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,1.8215569E7,0.0,1821320.0,0,1830.0,466535.47,0,95711.0,607606.0,4.66535467E8,32,466535.4672547053,84.0,44.0,189,5461198.322726359,2.293489566294942E7,1.274313805669853E7,-485.9148603232614,1542.6329836155412,-2512.7028988251855,2.2225213167103946E7,-251224.4055051431,46,45,-1,46,46,44,18513.309,2.2225207164303955E7,0.0,0.0,-2.3026328093823852E-4,1.199633E-11,0.0,46,46,0,2.197402627588878E7,2.19737278426774E7,298.4332113787532,0.011515077203512192,37.51428997516632,NLOS,
20152693519,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,1.8215569E7,0.0,1821320.0,0,1830.0,466535.47,0,95711.0,607606.0,4.66535467E8,1,466535.4672547053,191.0,56.0,61,2.2882893375428904E7,1.3230085046781544E7,3370597.8533560373,203.44302055796675,461.50317429688045,-3129.251484424759,2.1232205611184612E7,-185594.82419810817,42,42,0,43,43,42,18615.022,2.123220826992759E7,0.0,0.0,-8.58782303010931E-6,1.0865815E-12,0.0,42,42,0,2.1047475350374E7,2.1047073314652923E7,402.03572107478976,1.8078408539295197,864.5633874945343,NLOS,
20152693519,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,1.8215569E7,0.0,1821320.0,0,1830.0,466535.47,0,95711.0,607606.0,4.66535467E8,3,466535.4672547053,6.0,66.0,189,1.3466112539756622E7,1.0443234821336824E7,2.0366971086606503E7,-315.59810214165327,2569.420444993979,-1113.4084832592678,2.072775532535131E7,-124184.24154692516,45,44,-1,44,45,41,18075.029,2.0727732645534173E7,0.0,0.0,1.936912806769726E-4,2.1763381E-11,0.0,45,44,1,2.060366681424308E7,2.0603806248118367E7,-139.4338752888143,0.21882999315857887,95.73043869435787,NLOS,
20152693519,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,1.8215569E7,0.0,1821320.0,0,1830.0,466535.47,0,95711.0,607606.0,4.66535467E8,70,466535.4672547053,146.0,41.0,37,1.4714330808041131E7,2.0880876770617697E7,-409867.5448245786,233.35598895248395,-98.93631427162653,3600.94044470833,2.1132281318279646E7,-241664.97054865584,18,17,-1,19,19,17,17558.582,2.1132281318279646E7,0.0,0.0,0.0,0.0,0.0,17,17,0,2.0950125622044098E7,2.0950779203048814E7,-653.5810047164559,6.470892030745745,59509.27431310713,NLOS,
20152693519,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,1.8215569E7,0.0,1821320.0,0,1830.0,466535.47,0,95711.0,607606.0,4.66535467E8,23,466535.4672547053,287.0,58.0,45,2.1699250043577716E7,2239174.009172411,1.5569538577596966E7,-1679.2025910494058,989.1712003017288,2174.6831938092682,2.136126294403272E7,-209039.32951762155,25,24,-1,25,25,24,18059.604,2.1361142305111937E7,0.0,0.0,-8.63277433627117E-5,-5.895629E-13,0.0,25,25,0,2.1153226841420874E7,2.1153358096988708E7,-131.25556783378124,-3.1831257715821266,1003.2269057743251,LOS,
20152693519,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,1.8215569E7,0.0,1821320.0,0,1830.0,466535.47,0,95711.0,607606.0,4.66535467E8,9,466535.4672547053,261.0,30.0,189,2.4826997981644392E7,-6366414.263738669,6977790.538320079,-683.3158039411222,629.4796675269513,3000.627597772699,2.296469746081789E7,-205837.27494087443,40,40,0,40,40,39,17817.143,2.296476374746306E7,0.0,0.0,-7.845006858609855E-5,-1.1787953E-11,0.0,40,40,0,2.2759023025690645E7,2.275942262057809E7,-399.5948874466121,-2.6815096735954285,162.83981363102794,NLOS,
20152693519,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,1.8215569E7,0.0,1821320.0,0,1830.0,466535.47,0,95711.0,607606.0,4.66535467E8,73,466535.4672547053,86.0,10.0,173,-6625486.266856986,2.365790605689199E7,6833227.487281536,-221.35332609224707,919.375994127894,-3414.242811364976,2.3761456492311027E7,-147108.40360347554,37,36,-1,37,37,33,18618.043,2.3761456492311027E7,0.0,0.0,1.176134057330508E-4,9.094947E-13,0.0,37,37,0,2.3614560408073943E7,2.361417266036041E7,387.7477135322988,-18.851867381483316,212.3193663917482,NLOS,
20152693519,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,1.8215569E7,0.0,1821320.0,0,1830.0,466535.47,0,95711.0,607606.0,4.66535467E8,74,466535.4672547053,222.0,20.0,173,2.4907364599084795E7,7070.807381568943,-5645202.953603481,-789.5940157435962,-100.15692141448599,-3466.987332245057,2.274514159461579E7,-171262.90788208693,39,33,6,34,39,33,18896.316,2.274514159461579E7,0.0,0.0,3.7127049520197796E-5,1.8189894E-12,0.0,39,33,6,2.2574116307814192E7,2.2573426834595516E7,689.4732186757028,10.38425862416625,237.62108048796654,NLOS,
20152693519,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,1.8215569E7,0.0,1821320.0,0,1830.0,466535.47,0,95711.0,607606.0,4.66535467E8,75,466535.4672547053,68.0,46.0,37,4948961.110518887,1.945415781628355E7,1.571685299792389E7,-1113.5999227550199,-1856.948260931816,2644.3506597369237,2.370066095626172E7,-3191648.2803141475,17,16,-1,18,18,16,18283.275,2.370066095626172E7,0.0,0.0,0.0,0.0,0.0,17,17,0,2.351850526002617E7,2.3518553527877934E7,-48.26785176247358,-90.06371250376105,3009492.584078599,NLOS,
20152693520,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,2.0037108E7,0.0,1821320.0,0,1830.0,466536.47,0,95711.0,668366.0,4.66536467E8,32,466536.46731683874,84.0,44.0,189,5460712.477659055,2.2936438156965252E7,1.274062521839336E7,-485.77394552479615,1542.350804260673,-2512.9668014901767,2.2243727364849813E7,-269439.77143474296,47,46,-1,46,47,44,18512.742,2.224372131559426E7,0.0,0.0,-2.3026326894189168E-4,1.199633E-11,0.0,47,46,1,2.197432508748298E7,2.197402627588878E7,298.8115942031145,0.3783828243613243,37.494067911058664,NLOS,
20152693520,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,2.0037108E7,0.0,1821320.0,0,1830.0,466536.47,0,95711.0,668366.0,4.66536467E8,1,466536.46731683874,191.0,56.0,45,2.2883096672179103E7,1.3230546431572719E7,3367468.562080628,203.1499151784468,461.2651468192177,-3129.3224611725354,2.1250843192564934E7,-203832.02582580224,42,28,-12,43,43,28,18614.647,2.125082416437922E7,0.0,0.0,-8.587821943526363E-6,1.0865815E-12,0.0,42,28,-12,2.104789754233199E7,2.1047475350374E7,422.19195799157023,20.156236916780472,886.3755928575993,NLOS,
20152693520,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,2.0037108E7,0.0,1821320.0,0,1830.0,466536.47,0,95711.0,668366.0,4.66536467E8,3,466536.46731683874,6.0,66.0,189,1.346579702110724E7,1.0445804184962496E7,2.0365857459847674E7,-315.4383321611293,2569.299739253935,-1113.8419720681782,2.0745830497864958E7,-142398.8744422868,45,44,-1,45,45,41,18074.988,2.0745808651461553E7,0.0,0.0,1.9369130244038368E-4,2.1763381E-11,0.0,45,45,0,2.0603526603533152E7,2.060366681424308E7,-140.21070992574096,-0.776834636926651,94.98011048138142,NLOS,
20152693520,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,2.0037108E7,0.0,1821320.0,0,1830.0,466536.47,0,95711.0,668366.0,4.66536467E8,70,466536.46731683874,146.0,41.0,37,1.4714564020669809E7,2.0880777622910112E7,-406266.5941706427,233.06862791950692,-99.3588286049884,3600.9509736923665,2.1149843618767865E7,-259847.99043658376,18,17,-1,18,19,17,17565.908,2.1149843618767865E7,0.0,0.0,0.0,0.0,0.0,18,17,1,2.094947253278424E7,2.0950125622044098E7,-653.0892598591745,0.49174485728144646,59476.90445295721,NLOS,
20152693520,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,2.0037108E7,0.0,1821320.0,0,1830.0,466536.47,0,95711.0,668366.0,4.66536467E8,23,466536.46731683874,287.0,58.0,45,2.169757074394986E7,2240163.286972729,1.5571713102525342E7,-1679.3920432161062,989.381685593117,2174.3606831177126,2.1379296167875703E7,-227227.7945350334,35,25,8,25,35,24,18058.713,2.137920254902838E7,0.0,0.0,-8.632774395227542E-5,-5.895629E-13,0.0,35,25,8,2.115304467533903E7,2.1153226841420874E7,-182.16608184576035,-50.9105140119791,976.3019983582199,LOS,
20152693520,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,2.0037108E7,0.0,1821320.0,0,1830.0,466536.47,0,95711.0,668366.0,4.66536467E8,9,466536.46731683874,261.0,30.0,189,2.482631451280903E7,-6365784.682596963,6980791.095811154,-683.6199830593331,629.6808925820417,3000.479133149169,2.2982514156475898E7,-224051.59064006805,40,39,-1,40,40,39,17817.34,2.298258184217953E7,0.0,0.0,-7.845008037406787E-5,-1.1787953E-11,0.0,40,40,0,2.2758624328066632E7,2.2759023025690645E7,-398.6976240128279,0.8972634337842464,161.7622308023274,NLOS,
20152693520,4441566.0,3087242.0,3368322.0,0.0,0.0,0.0,0.0,32.0839504,34.8023771,0.0,-1713.0,0.0,0.0,0,0,0,2.0037108E7,0.0,1821320.0,0,1830.0,466536.47,0,95711.0,668366.0,4.66536467E8,73,466536.46731683874,86.0,10.0,173,-6625707.491430578,2.365882522881479E7,6829813.157695298,-221.09522294734882,918.9653184058461,-3414.4069720549905,2.3780084093634773E7,-165332.34586112574,37,36,-1,37,37,33,18617.514,2.3780084093634773E7,0.0,0.0,1.1761340664254674E-4,9.094947E-13,0.0,37,37,0,2.361497261992227E7,2.3614560408073943E7,412.2118483260274,24.46413479372859,220.87214862182736,NLOS,
